"","PLAYERS","NO_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"90","ACG88",2,8,0.75,0.349144205587176,0.968145973750056,18,"Green Tron","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-23#acg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-24#acg_-"
"91","Gerschi",2,8,0.75,0.349144205587176,0.968145973750056,18,"Jeskai Control; Blue Scapeshift","1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-23#gerschi_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-27#gerschi_-"
"92","Eggy216",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Goblins","1",""
"93","NMT_Sco94",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Dredge","1",""
"94","abisbocci",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"WURG Midrange","1",""
"95","mastahoova",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Heliod Combo","1",""
"96","nerdkneereape",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Living End","1",""
"97","VilaCelta",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Azorius Control","1",""
"98","Bgoose321",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Shadow Prowess","1",""
"99","SamuelGraebner",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Stoneblade","1",""
"100","Siulshadow",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Heliod Combo","1",""
"101","WhiTe TsaR",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Heliod Combo","1",""
"102","nikolajandmango",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Amulet Titan","1",""
"103","Drew Christensen",1,7,0.857142857142857,0.421276802956805,0.996389703138099,18,"Burn","1","https://www.mtggoldfish.com/deck/3783517"
"104","mdvayu2",1,8,0.625,0.244863216366552,0.914766585862746,15,"Burn","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#mdvayu_th_place"
"105","LuisMJ",1,8,0.625,0.244863216366552,0.914766585862746,15,"Humans","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#luismj_th_place"
"106","10thDegree",1,8,0.625,0.244863216366552,0.914766585862746,15,"Hollow One","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#thdegree_th_place"
"107","haubidtran",1,8,0.625,0.244863216366552,0.914766585862746,15,"Gifts Storm","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#haubidtran_th_place"
"108","Talisker",1,8,0.625,0.244863216366552,0.914766585862746,15,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#talisker_th_place"
"109","Parrotlet",1,8,0.625,0.244863216366552,0.914766585862746,15,"Gruul Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-21#parrotlet_st_place"
"110","Magic_Dan",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#magic_dan_th_place"
"111","IntegralHDK",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Jund Midrange","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#integralhdk_th_place"
"112","Polikasoll",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#polikasoll_th_place"
"113","Sanchez5272",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Green Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#sanchez_th_place"
"114","slamanscott1228",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Stoneblade","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#slamanscott_th_place"
"115","zecarlonxo",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#zecarlonxo_th_place"
"116","kthanakit26",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Izzet Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#kthanakit_st_place"
"117","yuseimax",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Soulflayer","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-22#yuseimax_nd_place"
"118","Ryan100495",1,8,0.625,0.244863216366552,0.914766585862746,15,"Dredge","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#ryan_th_place"
"119","Never_DidntHaveIt",1,8,0.625,0.244863216366552,0.914766585862746,15,"Shadow Prowess","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#never_didnthaveit_nd_place"
"120","DodecaHedron",1,8,0.625,0.244863216366552,0.914766585862746,15,"Mill","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#dodecahedron_rd_place"
"121","CrusherBotBG",1,8,0.625,0.244863216366552,0.914766585862746,15,"Hammer Time","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#crusherbotbg_th_place"
"122","Supersienix",1,8,0.625,0.244863216366552,0.914766585862746,15,"Azorius Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#supersienix_th_place"
"123","ice_nine_",1,8,0.625,0.244863216366552,0.914766585862746,15,"Land Destruction","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#ice_nine__th_place"
"124","RandomOctopus",1,8,0.625,0.244863216366552,0.914766585862746,15,"Pyro Ascension","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#randomoctopus_th_place"
"125","haruhilmi24",1,8,0.625,0.244863216366552,0.914766585862746,15,"Eldrazi Tron","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#haruhilmi_th_place"
"126","Do0mSwitch",1,8,0.625,0.244863216366552,0.914766585862746,15,"WURG Control","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-02-28#domswitch_nd_place"
"127","sinforlife54",1,8,0.625,0.244863216366552,0.914766585862746,15,"Mono White Taxes","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-03-01#sinforlife_th_place"
